Tweet_id,date,user,text
1247304384943460353,04/06/2020,Santanumalbum,tesla will be a huge winner when this all gets sorted out tesla tsla
1247303428268752896,04/06/2020,KB2465815821,tesla will be a huge winner when this all gets sorted out tesla tsla
1247302935740022791,04/06/2020,portatopia,do you know how many ventilators tsla delivered
1247302180807139328,04/06/2020,warren_tt,dave  i think i know your issue  you need to short weak fundamentals company  try tsla
1247301101495304194,04/06/2020,Bhatti_Arsh,tsla up or down
1247300862395011074,04/06/2020,agusnox,tilman is on the second tier of tsla he doesnt realize what the people closest t
1247300669725343744,04/06/2020,nickfranciscoo,hoping tsla fucks off and sells this week
1247300080278712320,04/06/2020,AES_Energy,tesla might be able to deploy world recordmegapacks battery  storage in hawaiitsla tesla energy
1247298368457621505,04/06/2020,Victor33851065,tsla  a bunch of fanatics
1247297270590177280,04/06/2020,Brett_Coitas,market tsla duhhhh  price target is achievable
1247297070014369793,04/06/2020,JohnLaw74657647,murphy  twitter is a goog place for you commit security fraud tsla
1247296663560978432,04/06/2020,NevanRead,tesla will be a huge winner when this all gets sorted out tesla tsla
1247296616337412103,04/06/2020,JCOviedo6,how many cases in alameda relate to tsla workers from the fremont plant
1247295344272179202,04/06/2020,MirkoMCisneros,buy tons of tsla on  of april for financial result
1247293754765127680,04/06/2020,Gfilche,made a video about it  tsla
1247293019646300161,04/06/2020,wallstreetelix5,tsla gap up tomorrowfor  days this week enjoy your day
1247292295252148225,04/06/2020,StckPro,tsla new a tesla engineers are building ventilators for coronavirus patients out of car partstake a look
1247291045668364295,04/06/2020,Gambiste1,dumb robinhood retail piling into tsla just before the company announces what may be its largest quarterly loss in hi
1247290989842235398,04/06/2020,Davecbb,tsla  its clearly evident that  and tesla have no idea what they are doingthey do not know how to design a
1247290951678246918,04/06/2020,zeebbit,robinhood noobs will be sorry when tesla announces its qe results inweeks  sho
1247290849727148032,04/06/2020,jacques_nate,cfo of tesla energy resigned and solar sales are crateringburrowing in the earth tslaj
1247290693598535691,04/06/2020,MrDjondo,tesla will be a huge winner when this all gets sorted out tesla tsla
1247290410231365635,04/06/2020,Gambiste1,tsla this could one of the fudges and reasons the cfo of tesla energy resigned last week
1247290085508354048,04/06/2020,Blamblas,say it together dump  the  pump tsla
1247289861272453121,04/06/2020,Gambiste1,tesla receives buy rating from wall street due to a positive ev sumgame tsla
1247289568589746176,04/06/2020,PMangiamele,tesla will be a huge winner when this all gets sorted out tesla tsla
1247289565150396416,04/06/2020,Gambiste1,via thecreditbubble delorean i mean musk has been behaving very erratically this year tsla
1247289521881993220,04/06/2020,Gambiste1,if tsla reported  in cash amp equivalents at end why was their  interest income only  moneymarket
1247289478747734019,04/06/2020,Gambiste1,which tesla model do you prefer tsla
1247289435701592065,04/06/2020,Gambiste1,when do they come for tsla on my watch list for tuesday
1247289132482691073,04/06/2020,Path_Trading,tesla  tsla  apr  update technical analysis chartwatch gt
1247289096722096128,04/06/2020,Gambiste1,tesla and tsla target group
1247288967357227009,04/06/2020,Gambiste1,tsla insiders could all sell their stock at the lofty levels still
1247288289142472706,04/06/2020,Gambiste1,tsla needs to break the resistances to go higher   using chart program pro
1247288202647547904,04/06/2020,Gambiste1,tesla will be a huge winner when this all gets sorted out tesla tsla
1247287906542194690,04/06/2020,Gambiste1,im shocked that analysts have cut tsla  eps est by sh after last weeks  delivs surprise  analytically an
1247287733820801025,04/06/2020,Gambiste1,have they tested it on a human  how do you know its functional  because it turns on  tsla
1247287250100109313,04/06/2020,fraudamental,so tsla applied for permits  headline seems misleading when will they get approved  work to begin when
1247286737497468928,04/06/2020,TipRanks,tsla tesla despite record  numbers uncertainty looms ahead
1247286671948816386,04/06/2020,portatopia,tslatesla increases price to remove its solar system for monthly rental customers from  to  in california and
1247286540759375872,04/06/2020,biogirl09,tesla will be a huge winner when this all gets sorted out tesla tsla
1247285719212666881,04/06/2020,resx18,tsla  carnival soars after saudi sovereignwealth fund discloses stake   update
1247285371802513408,04/06/2020,UserExperienceY,tsla still plummeting today it is a massacre
1247284017394745344,04/06/2020,meamZ_MZ,bullish tsla t spotted on the hr macd disclosure this is highly technical analysis
1247283950688579587,04/06/2020,jbtalkingheads,if tsla reported  in cash amp equivalents at end why was their  interest income only  moneymarket
